customer_id,first_name,last_name,email,phone,city,state,postal_code,country,signup_date,last_order_date,total_orders,total_spent,marketing_opt_in,segment
1,Tiana,Harris,tiana.harris1@example.com,(959) 481-5012,Charlotte,NC,43434,USA,2023-11-24,2024-08-29,3,467.44,True,Active
2,Marcus,Moore,marcus.moore2@example.com,(438) 717-1434,Phoenix,FL,84987,USA,2022-08-14,2023-01-03,1,194.53,True,Churn Risk
3,Aaliyah,Jackson,aaliyah.jackson3@example.com,(484) 359-4527,Chicago,TX,42156,USA,2023-01-25,,0,0.0,False,New
4,Sierra,Anderson,sierra.anderson4@example.com,(244) 947-8527,Phoenix,TX,79615,USA,2022-03-22,2023-02-06,20,4473.08,False,VIP
5,Devon,Moore,devon.moore5@example.com,(921) 271-1750,Charlotte,IL,40458,USA,2022-08-27,2023-03-09,9,1118.56,True,Active
6,Brianna,White,brianna.white6@example.com,(414) 886-5374,Dallas,NC,62087,USA,2022-06-17,2022-11-02,21,3743.82,True,VIP
7,Jordan,Johnson,jordan.johnson7@example.com,(434) 232-6168,New York,IL,38675,USA,2022-08-05,2023-05-22,23,2124.65,False,Churn Risk
8,Malik,Young,malik.young8@example.com,(346) 471-3287,Charlotte,WA,64438,USA,2023-08-22,2024-06-15,13,1342.37,False,Active
9,Marcus,Johnson,marcus.johnson9@example.com,(312) 356-3621,New York,TX,80432,USA,2023-01-26,2023-09-22,17,1323.03,True,Churn Risk
10,Tiana,Scott,tiana.scott10@example.com,(968) 473-6573,Dallas,IL,86985,USA,2022-06-11,2022-10-23,17,3319.27,True,VIP
11,Kayla,Wright,kayla.wright11@example.com,(823) 403-3504,Chicago,NC,99514,USA,2022-01-01,2022-09-08,1,45.73,False,Churn Risk
12,Kayla,Taylor,kayla.taylor12@example.com,(259) 446-2290,Dallas,AZ,39071,USA,2023-06-30,2023-09-03,22,2844.93,True,VIP
13,DeShawn,Wright,deshawn.wright13@example.com,(821) 633-4470,Phoenix,FL,70857,USA,2023-02-13,2024-01-11,12,1449.16,False,Churn Risk
14,Tiana,Taylor,tiana.taylor14@example.com,(430) 265-6539,Atlanta,WA,60161,USA,2023-08-26,2023-10-01,23,3798.53,True,VIP
15,Marcus,Johnson,marcus.johnson15@example.com,(538) 272-9423,Charlotte,IL,93624,USA,2022-08-08,2023-05-27,19,2445.57,False,Active
16,Chris,Davis,chris.davis16@example.com,(299) 874-8062,Chicago,CA,83883,USA,2023-04-24,2023-05-21,22,3746.48,True,VIP
17,Alicia,Hall,alicia.hall17@example.com,(945) 547-2790,Charlotte,FL,54931,USA,2023-07-04,2024-02-05,6,504.39,True,Active
18,Andre,Scott,andre.scott18@example.com,(300) 251-9856,Atlanta,TX,60982,USA,2022-06-20,2023-02-21,7,1532.09,True,Active
19,Malik,Harris,malik.harris19@example.com,(599) 471-8454,Miami,CA,93788,USA,2022-06-08,2022-09-27,2,306.42,True,Churn Risk
20,Jordan,Johnson,jordan.johnson20@example.com,(251) 798-8811,Phoenix,WA,50635,USA,2022-02-28,2022-04-10,6,214.56,True,Active
